NLC,Origin TLC,Station Name,Location for map,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Total usage,Percentage change,Interchanges
4616,CSL,Codsall,WV8 1BY,West Midlands,Staffordshire,South Staffordshire,UKG2,Shropshire and Staffordshire,London Midland Trains,121430,16,0
3828,CGN,Cogan,CF64 2NS,Wales - Cymru,The Vale Of Glamorgan - Bro Morgannwg,The Vale Of Glamorgan - Bro Morgannwg,UKL2,East Wales,Arriva Trains Wales,237324,16,0
6853,CET,Colchester Town,CO2 7EF,East,Essex,Colchester,UKH3,Essex,National Express East Anglia,463876,22,0
9882,CEH,Coleshill Parkway,B46 1DA,West Midlands,Warwickshire,North Warwickshire,UKG3,West Midlands,London Midland Trains,170320,12,0
6349,CLM,Collingham,NG23 7RB,East Midlands,Nottinghamshire,Newark And Sherwood,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,59738,24,0
5457,CLL,Collington,TN39 3EW,South East,East Sussex,Rother,UKJ2,Surrey East & West Sussex,Southern,180784,20,0
2486,CNW,Conwy,LL32 8LD,Wales - Cymru,Conwy - Conwy,Conwy - Conwy,UKL1,West Wales and the Valleys,Arriva Trains Wales,38136,19,0
5821,COP,Copplestone,EX17 5NE,South West,Devon,Mid Devon,UKK4,Devon,First Great Western,12680,26,0
1847,COR,Corby,NN17 1UJ,East Midlands,Northamptonshire,Corby,UKF2,Leicestershire Rutland and Northamptonshire,East Midlands Trains,215388,22,706
9627,CKH,Corkerhill Glasgow,G52 1QR,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,236562,12,0
2049,CKL,Corkickle,CA28 8AP,North West,Cumbria,Copeland,UKD1,Cumbria,Northern Rail,29294,27,0
1143,CSY,Coseley,WV14 8XP,West Midlands,West Midlands,Dudley,UKG3,West Midlands,London Midland Trains,367282,35,0
4617,COS,Cosford,WV7 3EY,West Midlands,Shropshire,Bridgnorth,UKG2,Shropshire and Staffordshire,London Midland Trains,61378,-28,0
5409,CWN,Cowden,TN8 7DS,South East,Kent,Sevenoaks,UKJ4,Kent,Southern,45354,19,0
5754,CDI,Crediton,EX17 3BY,South West,Devon,Mid Devon,UKK4,Devon,First Great Western,48988,11,0
8826,CNR,Crianlarich,FK20 8QN,Scotland,Stirling,Stirling,UKM2,Eastern Scotland,First ScotRail,16642,23,1317
4312,CCC,Criccieth,LL52 0RW,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,24580,11,0
1822,CMF,Cromford,DE4 5JJ,East Midlands,Derbyshire,Derbyshire Dales,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,34406,11,0
9796,CMY,Crossmyloof,G41 3TW,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,530594,14,0
7406,CRH,Crouch Hill,N4 4AU,London,Greater London,Islington,UKI1,Inner London,London Overground,497964,55,0
5325,COH,Crowborough,TN6 2JR,South East,East Sussex,Wealden,UKJ2,Surrey East & West Sussex,Southern,402274,11,0
5233,CWU,Crowhurst,TN33 9DD,South East,East Sussex,Rother,UKJ2,Surrey East & West Sussex,Southeastern,33370,-15,0
5356,CYP,Crystal Palace,SE19 2AZ,London,Greater London,Bromley,UKI2,Outer London,Southern,2126794,14,574812
5201,CUX,Cuxton,ME2 1AB,South East,Medway,Medway,UKJ4,Kent,Southeastern,43490,11,0
2077,DLS,Dalston,CA5 7LT,North West,Cumbria,Carlisle,UKD1,Cumbria,Northern Rail,28766,16,0
1429,DLK,Dalston (Kingsland),E8 2JS,London,Greater London,Hackney,UKI1,Inner London,London Overground,4558220,78,0
1443,DLJ,Dalston Junction,E8 3DE ,London,Greater London,Hackney,UKI1,Inner London,London Overground,2276848,71,1
1957,DLT,Dalton,LA15 8QA,North West,Cumbria,Barrow-In-Furness,UKD1,Cumbria,Northern Rail,39748,-10,0
6729,DAN,Darnall,S9 4JU,Yorkshire And The Humber,South Yorkshire,Sheffield,UKE3,South Yorkshire,Northern Rail,12310,12,0
5412,DPD,Deepdene,RH4 7TY,South East,Surrey,Mole Valley,UKJ2,Surrey East & West Sussex,First Great Western,334844,-12,161121
7212,DBR,Derby Road,IP3 8DN,East,Suffolk,Ipswich,UKH1,East Anglia,National Express East Anglia,43220,15,0
5753,DIG,Digby and Sowton,EX2 7AW,South West,Devon,Exeter,UKK4,Devon,First Great Western,374496,21,0
5502,DMH,Dilton Marsh,BA13 4DF,South West,Wiltshire,West Wiltshire,UKK1,Gloucestershire Wiltshire and North Somerset,First Great Western,16666,34,0
8632,DIN,Dingwall,IV15 9PZ,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,101730,20,668
7897,DND,Dinsdale,DL2 1EP,North East,Darlington,Darlington,UKC1,Tees Valley and Durham,Northern Rail,28378,32,0
5036,DLH,Doleham,TN35 4LY,South East,East Sussex,Rother,UKJ2,Surrey East & West Sussex,Southern,38666,893,0
5962,DCW,Dorchester West,DT1 2LB,South West,Dorset,West Dorset,UKK2,Dorset and Somerset,First Great Western,64776,-14,0
6690,DOR,Dore,S17 3LB,Yorkshire And The Humber,South Yorkshire,Sheffield,UKE3,South Yorkshire,Northern Rail,106224,14,0
6901,DVC,Dovercourt,CO12 3AG,East,Essex,Tendring,UKH3,Essex,National Express East Anglia,137192,16,0
9967,DFR,Drumfrochar,PA15 4BY,Scotland,Inverclyde,Inverclyde,UKM3,South Western Scotland,First ScotRail,55170,-10,0
9757,DRU,Drumgelloch,ML6 8JA,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,269172,360,0
1040,DUD,Duddeston,B7 4ST,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,179932,28,0
1212,DDP,Dudley Port,DY4 8UB,West Midlands,West Midlands,Sandwell,UKG3,West Midlands,London Midland Trains,382862,37,0
8905,DYC,Dyce,AB21 7EQ,Scotland,Aberdeen City,Aberdeen City,UKM1,North Eastern Scotland,First ScotRail,677876,17,0
4520,EWD,Earlswood (West Midlands),B94 5JS,West Midlands,West Midlands,Solihull,UKG3,West Midlands,London Midland Trains,36686,13,0
2949,EDY,East Didsbury,M20 0WP,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,342866,11,0
5358,EDW,East Dulwich,SE22 8EF,London,Greater London,Southwark,UKI1,Inner London,Southern,2085892,14,0
5234,EFL,East Farleigh,ME15 0JH,South East,Kent,Maidstone,UKJ4,Kent,Southeastern,27922,10,0
1901,EMD,East Midlands Parkway,NG11 0EE,East Midlands,Nottinghamshire,Rushcliffe,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,261880,19,24491
5566,EBB,Ebbsfleet International,DA10 1EB ,South East,Kent,Dartford,UKJ4,Kent,Southeastern,912162,27,47238
2950,ECC,Eccles,M30 0DN,North West,Greater Manchester,Salford,UKD3,Greater Manchester,Northern Rail,149336,23,0
5359,EBT,Edenbridge Town,TN8 5LP,South East,Kent,Sevenoaks,UKJ4,Kent,Southern,334462,11,8401
2169,EDG,Edge Hill,L7 1AD,North West,Merseyside,Liverpool,UKD5,Merseyside,Northern Rail,142102,15,14831
9328,EDB,Edinburgh,EH1 1BB,Scotland,Edinburgh City Of,Edinburgh City Of,UKM2,Eastern Scotland,Network Rail,22585176,13,1143271
9395,EDP,Edinburgh Park,EH11 4DF,Scotland,Edinburgh City Of,Edinburgh City Of,UKM2,Eastern Scotland,First ScotRail,646018,25,0
6941,EDR,Edmonton Green,N9 7AA,London,Greater London,Enfield,UKI2,Outer London,National Express East Anglia,2094456,11,18997
7918,EGT,Egton,YO21 1UX,Yorkshire And The Humber,North Yorkshire,Scarborough,UKE2,North Yorkshire,Northern Rail,10562,12,0
7473,EMP,Emerson Park,RM11 2JP,London,Greater London,Havering,UKI2,Outer London,National Express East Anglia,94746,15,0
6959,ENF,Enfield Town,EN1 1YX,London,Greater London,Enfield,UKI2,Outer London,National Express East Anglia,1564588,12,0
2747,ENT,Entwistle,BL7 0NG,North West,Blackburn With Darwen,Blackburn With Darwen,UKD4,Lancashire,Northern Rail,15458,34,0
5361,EPD,Epsom Downs,KT17 4JX,South East,Surrey,Reigate And Banstead,UKJ2,Surrey East & West Sussex,Southern,79452,14,0
1041,ERD,Erdington,B23 6UB,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,815212,40,0
5459,ERI,Eridge,TN3 9LE,South East,East Sussex,Wealden,UKJ2,Surrey East & West Sussex,Southern,137736,12,0
5415,EWE,Ewell East,KT17 1QR,South East,Surrey,Epsom And Ewell,UKJ2,Surrey East & West Sussex,Southern,449326,12,0
3414,EXT,Exeter St. Thomas,EX4 1AJ,South West,Devon,Exeter,UKK4,Devon,First Great Western,137346,18,0
9914,EXG,Exhibition Centre Glasgow,G3 8LD,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,1317766,12,0
2780,FRF,Fairfield,M43 6TT,North West,Greater Manchester,Tameside,UKD3,Greater Manchester,Northern Rail,21234,33,0
5337,FMR,Falmer,BN1 9PU,South East,Brighton And Hove,Brighton And Hove,UKJ2,Surrey East & West Sussex,Southern,1248706,25,0
3508,FAL,Falmouth Docks,TR11 4LT,South West,Cornwall And Isles Of Scilly,Carrick,UKK3,Cornwall and Isles of Scilly,First Great Western,104468,12,0
3591,FMT,Falmouth Town,TR11 4AZ,South West,Cornwall And Isles Of Scilly,Carrick,UKK3,Cornwall and Isles of Scilly,First Great Western,193802,16,0
